time,P,G(i),H_sun,T2m,WS10m,Int
20230119:0210,0.0,0.0,0.0,0.03,1.72,0.0
20230119:0310,0.0,0.0,0.0,0.39,2.21,0.0
20230119:0410,0.0,0.0,0.0,0.71,2.69,0.0
20230119:0510,0.0,0.0,0.0,1.69,3.1,0.0
20230119:0610,0.0,0.0,0.0,2.11,3.24,0.0
20230119:0710,0.0,0.0,0.0,1.7,2.14,0.0
20230119:0810,75.34,100.61,9.68,1.88,2.07,0.0
20230119:0910,21.46,37.99,16.6,2.88,1.79,0.0
20230119:1010,72.43,98.58,21.53,4.0,1.31,0.0
20230119:1110,50.3,73.26,23.98,4.59,1.24,0.0
20230119:1210,99.28,129.25,23.66,4.61,1.1,0.0
20230119:1310,67.45,93.16,20.6,4.46,0.76,0.0
20230119:1410,21.3,37.99,15.16,4.03,0.14,0.0
